Name	Egg Group 1	Egg Group 2	Ability 1	Ability 2	Hidden Ability	Male Ratio	Female Ratio	OffspringSpecies
Medicham	Human-Like	N/A	Pure Power	Telepathy	N/A	50.2	49.8	Meditite
Electrike	Field	N/A	Static	Lightning Rod	Minus	50.2	49.8	Electrike
Manectric	Field	N/A	Static	Lightning Rod	Minus	50.2	49.8	Electrike
Plusle	Fairy	N/A	Plus	Lightning Rod	N/A	50.2	49.8	Plusle
Minun	Fairy	N/A	Minus	Volt Absorb	N/A	50.2	49.8	Minun
Volbeat	Bug	Human-Like	Illuminate	Swarm	Prankster	100	0	Volbeat+Illumise
Illumise	Bug	Human-Like	Oblivious	Tinted Lens	Prankster	0	100	Volbeat+Illumise
Roselia	Fairy	Grass	Natural Cure	Poison Point	Leaf Guard	50.2	49.8	Budew+Roselia
Gulpin	Amorphous	N/A	Liquid Ooze	Sticky Hold	Gluttony	50.2	49.8	Gulpin
Swalot	Amorphous	N/A	Liquid Ooze	Sticky Hold	Gluttony	50.2	49.8	Gulpin
Carvanha	Water 2	N/A	Rough Skin	Speed Boost	N/A	50.2	49.8	Carvanha
Sharpedo	Water 2	N/A	Rough Skin	Speed Boost	N/A	50.2	49.8	Carvanha
Wailmer	Field	Water 2	Water Veil	Oblivious	Pressure	50.2	49.8	Wailmer
Wailord	Field	Water 2	Water Veil	Oblivious	Pressure	50.2	49.8	Wailmer
Numel	Field	N/A	Oblivious	Simple	Own Tempo	50.2	49.8	Numel
Camerupt	Field	N/A	Magma Armor	Solid Rock	Anger Point	50.2	49.8	Numel
Torkoal	Field	N/A	White Smoke	Drought	Shell Armor	50.2	49.8	Torkoal
Spoink	Field	N/A	Thick Fat	Own Tempo	Gluttony	50.2	49.8	Spoink
Grumpig	Field	N/A	Thick Fat	Own Tempo	Gluttony	50.2	49.8	Spoink
Spinda	Field	Human-Like	Own Tempo	Tangled Feet	Contrary	50.2	49.8	Spinda
Trapinch	Bug	Dragon*	Hyper Cutter	Arena Trap	Sheer Force	50.2	49.8	Trapinch
Vibrava	Bug	Dragon*	Levitate	N/A	N/A	50.2	49.8	Trapinch
Flygon	Bug	Dragon*	Levitate	N/A	N/A	50.2	49.8	Trapinch
Cacnea	Grass	Human-Like	Sand Veil	Water Absorb	N/A	50.2	49.8	Cacnea
Cacturne	Grass	Human-Like	Sand Veil	Water Absorb	N/A	50.2	49.8	Cacnea
Swablu	Flying	Dragon	Natural Cure	Cloud Nine	N/A	50.2	49.8	Swablu
Altaria	Flying	Dragon	Natural Cure	Cloud Nine	N/A	50.2	49.8	Swablu
Zangoose	Field	N/A	Immunity	Toxic Boost	N/A	50.2	49.8	Zangoose
Seviper	Field	Dragon	Shed Skin	Infiltrator	N/A	50.2	49.8	Seviper
Lunatone	Mineral	N/A	Levitate	N/A	N/A	0	0	Lunatone
Solrock	Mineral	N/A	Levitate	N/A	N/A	0	0	Solrock
Barboach	Water 2	N/A	Oblivious	Anticipation	Hydration	50.2	49.8	Barboach
Whiscash	Water 2	N/A	Oblivious	Anticipation	Hydration	50.2	49.8	Barboach
Corphish	Water 1	Water 3	Hyper Cutter	Shell Armor	Adaptability	50.2	49.8	Corphish
Crawdaunt	Water 1	Water 3	Hyper Cutter	Shell Armor	Adaptability	50.2	49.8	Corphish
Baltoy	Mineral	N/A	Levitate	N/A	N/A	0	0	Baltoy
Claydol	Mineral	N/A	Levitate	N/A	N/A	0	0	Baltoy
Lileep	Water 3	N/A	Suction Cups	Storm Drain	N/A	88.14	11.86	Lileep
Cradily	Water 3	N/A	Suction Cups	Storm Drain	N/A	88.14	11.86	Lileep
Anorith	Water 3	N/A	Battle Armor	Swift Swim	N/A	88.14	11.86	Anorith
Armaldo	Water 3	N/A	Battle Armor	Swift Swim	N/A	88.14	11.86	Anorith
Feebas	Water 1	Dragon	Swift Swim	Oblivious	Adaptability	50.2	49.8	Feebas
Milotic	Water 1	Dragon	Marvel Scale	Competitive	Cute Charm	50.2	49.8	Feebas
Castform	Fairy	Amorphous	Forecast	N/A	N/A	50.2	49.8	Castform
Kecleon	Field	N/A	Color Change	Protean	N/A	50.2	49.8	Kecleon
Shuppet	Amorphous	N/A	Insomnia	Frisk	Cursed Body	50.2	49.8	Shuppet
Banette	Amorphous	N/A	Insomnia	Frisk	Cursed Body	50.2	49.8	Shuppet
Duskull	Amorphous	N/A	Levitate	Frisk	N/A	50.2	49.8	Duskull
Dusclops	Amorphous	N/A	Pressure	Frisk	N/A	50.2	49.8	Duskull
Tropius	Monster	Grass	Chlorophyll	Solar Power	Harvest	50.2	49.8	Tropius
Chimecho	Amorphous	N/A	Levitate	N/A	N/A	50.2	49.8	Chingling+Chimecho
Absol	Field	N/A	Pressure	Super Luck	Justified	50.2	49.8	Absol
Wynaut	Undiscovered	N/A	Shadow Tag	Telepathy	N/A	50.2	49.8	N/A
Snorunt	Fairy	Mineral	Inner Focus	Ice Body	Moody	50.2	49.8	Snorunt
Glalie	Fairy	Mineral	Inner Focus	Ice Body	Moody	50.2	49.8	Snorunt
Spheal	Water 1	Field	Thick Fat	Ice Body	Oblivious	50.2	49.8	Spheal
Sealeo	Water 1	Field	Thick Fat	Ice Body	Oblivious	50.2	49.8	Spheal
Walrein	Water 1	Field	Thick Fat	Ice Body	Oblivious	50.2	49.8	Spheal
Clamperl	Water 1	N/A	Shell Armor	Rattled	N/A	50.2	49.8	Clamperl
Huntail	Water 1	N/A	Swift Swim	Water Veil	N/A	50.2	49.8	Clamperl
Gorebyss	Water 1	N/A	Swift Swim	Hydration	N/A	50.2	49.8	Clamperl
Relicanth	Water 1	Water 2	Swift Swim	Rock Head	Sturdy	88.14	11.86	Relicanth
Luvdisc	Water 2	N/A	Swift Swim	Hydration	N/A	24.9	75.1	Luvdisc
Bagon	Dragon	N/A	Rock Head	Sheer Force	N/A	50.2	49.8	Bagon
Shelgon	Dragon	N/A	Rock Head	Overcoat	N/A	50.2	49.8	Bagon
Salamence	Dragon	N/A	Intimidate	Moxie	N/A	50.2	49.8	Bagon
Beldum	Mineral	N/A	Clear Body	Light Metal	N/A	0	0	Beldum
Metang	Mineral	N/A	Clear Body	Light Metal	N/A	0	0	Beldum
Metagross	Mineral	N/A	Clear Body	Light Metal	N/A	0	0	Beldum
Regirock	Undiscovered	N/A	Clear Body	Sturdy	N/A	0	0	N/A
Regice	Undiscovered	N/A	Clear Body	Ice Body	N/A	0	0	N/A
Registeel	Undiscovered	N/A	Clear Body	Light Metal	N/A	0	0	N/A
Latias	Undiscovered	N/A	Levitate	N/A	N/A	0	100	N/A
Latios	Undiscovered	N/A	Levitate	N/A	N/A	100	0	N/A
Kyogre	Undiscovered	N/A	Drizzle	N/A	N/A	0	0	N/A
Groudon	Undiscovered	N/A	Drought	N/A	N/A	0	0	N/A
Rayquaza	Undiscovered	N/A	Air Lock	N/A	N/A	0	0	N/A
Jirachi	Undiscovered	N/A	Serene Grace	N/A	N/A	0	0	N/A
Deoxys	Undiscovered	N/A	Pressure	N/A	N/A	0	0	N/A
Turtwig	Monster	Grass	Overgrow	Shell Armor	N/A	88.14	11.86	Turtwig
Grotle	Monster	Grass	Overgrow	Shell Armor	N/A	88.14	11.86	Turtwig
Torterra	Monster	Grass	Overgrow	Shell Armor	N/A	88.14	11.86	Turtwig
Chimchar	Field	Human-Like	Blaze	Iron Fist	N/A	88.14	11.86	Chimchar
Monferno	Field	Human-Like	Blaze	Iron Fist	N/A	88.14	11.86	Chimchar
Infernape	Field	Human-Like	Blaze	Iron Fist	N/A	88.14	11.86	Chimchar
Piplup	Water 1	Field	Torrent	Defiant	N/A	88.14	11.86	Piplup
Prinplup	Water 1	Field	Torrent	Defiant	N/A	88.14	11.86	Piplup
Empoleon	Water 1	Field	Torrent	Defiant	N/A	88.14	11.86	Piplup
Starly	Flying	N/A	Keen Eye	Reckless	N/A	50.2	49.8	Starly
Staravia	Flying	N/A	Intimidate	Reckless	N/A	50.2	49.8	Starly
Staraptor	Flying	N/A	Intimidate	Reckless	N/A	50.2	49.8	Starly
Bidoof	Water 1	Field	Simple	Unaware	Moody	50.2	49.8	Bidoof
Bibarel	Water 1	Field	Simple	Unaware	Moody	50.2	49.8	Bidoof
Kricketot	Bug	N/A	Shed Skin	Run Away	N/A	50.2	49.8	Kricketot
Kricketune	Bug	N/A	Swarm	Technician	N/A	50.2	49.8	Kricketot
Shinx	Field	N/A	Rivalry	Intimidate	Guts	50.2	49.8	Shinx
Luxio	Field	N/A	Rivalry	Intimidate	Guts	50.2	49.8	Shinx
Luxray	Field	N/A	Rivalry	Intimidate	Guts	50.2	49.8	Shinx
Budew	Undiscovered	N/A	Natural Cure	Poison Point	Leaf Guard	50.2	49.8	N/A
Roserade	Fairy	Grass	Natural Cure	Poison Point	Technician	50.2	49.8	Budew+Roselia
Cranidos	Monster	N/A	Mold Breaker	Sheer Force	N/A	88.14	11.86	Cranidos
Rampardos	Monster	N/A	Mold Breaker	Sheer Force	N/A	88.14	11.86	Cranidos
Shieldon	Monster	N/A	Sturdy	Soundproof	N/A	88.14	11.86	Shieldon
Bastiodon	Monster	N/A	Sturdy	Soundproof	N/A	88.14	11.86	Shieldon
Burmy	Bug	N/A	Shed Skin	Overcoat	N/A	50.2	49.8	Burmy
Wormadam	Bug	N/A	Anticipation	Overcoat	N/A	0	100	Burmy
Mothim	Bug	N/A	Swarm	Tinted Lens	N/A	100	0	Burmy
Combee	Bug	N/A	Honey Gather	Hustle	N/A	88.14	11.86	Combee
Vespiquen	Bug	N/A	Pressure	Unnerve	N/A	0	100	Combee
Pachirisu	Field	Fairy	Run Away	Pickup	Volt Absorb	50.2	49.8	Pachirisu
Buizel	Water 1	Field	Swift Swim	Water Veil	N/A	50.2	49.8	Buizel
Floatzel	Water 1	Field	Swift Swim	Water Veil	N/A	50.2	49.8	Buizel
Cherubi	Fairy	Grass	Chlorophyll	N/A	N/A	50.2	49.8	Cherubi
Cherrim	Fairy	Grass	Flower Gift	N/A	N/A	50.2	49.8	Cherubi
Shellos	Water 1	Amorphous	Sticky Hold	Storm Drain	Sand Force	50.2	49.8	Shellos
Gastrodon	Water 1	Amorphous	Sticky Hold	Storm Drain	Sand Force	50.2	49.8	Shellos
Ambipom	Field	N/A	Technician	Pickup	Skill Link	50.2	49.8	Aipom
Drifloon	Amorphous	N/A	Aftermath	Unburden	Flare Boost	50.2	49.8	Drifloon
Drifblim	Amorphous	N/A	Aftermath	Unburden	Flare Boost	50.2	49.8	Drifloon
Buneary	Field	Human-Like	Run Away	Klutz	Limber	50.2	49.8	Buneary
Lopunny	Field	Human-Like	Cute Charm	Klutz	Limber	50.2	49.8	Buneary
Mismagius	Amorphous	N/A	Levitate	N/A	N/A	50.2	49.8	Misdreavus
Honchkrow	Flying	N/A	Insomnia	Super Luck	Moxie	50.2	49.8	Murkrow
Glameow	Field	N/A	Limber	Own Tempo	Keen Eye	24.9	75.1	Glameow
Purugly	Field	N/A	Thick Fat	Own Tempo	Defiant	24.9	75.1	Glameow
Chingling	Undiscovered	N/A	Levitate	N/A	N/A	50.2	49.8	N/A
Stunky	Field	N/A	Stench	Aftermath	Keen Eye	50.2	49.8	Stunky
Skuntank	Field	N/A	Stench	Aftermath	Keen Eye	50.2	49.8	Stunky
Bronzor	Mineral	N/A	Levitate	Heatproof	Heavy Metal	0	0	Bronzor
Bronzong	Mineral	N/A	Levitate	Heatproof	Heavy Metal	0	0	Bronzor
Bonsly	Undiscovered	N/A	Sturdy	Rock Head	Rattled	50.2	49.8	N/A
Mime Jr.	Undiscovered	N/A	Soundproof	Filter	Technician	50.2	49.8	N/A
Happiny	Undiscovered	N/A	Natural Cure	Serene Grace	Friend Guard	0	100	N/A
Chatot	Flying	N/A	Keen Eye	Tangled Feet	Big Pecks	50.2	49.8	Chatot
Spiritomb	Amorphous	N/A	Pressure	Infiltrator	N/A	50.2	49.8	Spiritomb
Gible	Monster	Dragon	Sand Veil	Rough Skin	N/A	50.2	49.8	Gible
Gabite	Monster	Dragon	Sand Veil	Rough Skin	N/A	50.2	49.8	Gible
Garchomp	Monster	Dragon	Sand Veil	Rough Skin	N/A	50.2	49.8	Gible
Munchlax	Undiscovered	N/A	Pickup	Thick Fat	Gluttony	88.14	11.86	N/A
Riolu	Undiscovered	N/A	Steadfast	Inner Focus	Prankster	88.14	11.86	N/A
Lucario	Field	Human-Like	Steadfast	Inner Focus	Justified	88.14	11.86	Riolu
Hippopotas	Field	N/A	Sand Stream	Sand Force	N/A	50.2	49.8	Hippopotas
Hippowdon	Field	N/A	Sand Stream	Sand Force	N/A	50.2	49.8	Hippopotas
Skorupi	Bug	Water 3	Battle Armor	Sniper	Keen Eye	50.2	49.8	Skorupi
Drapion	Bug	Water 3	Battle Armor	Sniper	Keen Eye	50.2	49.8	Skorupi
Croagunk	Human-Like	N/A	Anticipation	Dry Skin	Poison Touch	50.2	49.8	Croagunk
Toxicroak	Human-Like	N/A	Anticipation	Dry Skin	Poison Touch	50.2	49.8	Croagunk
Carnivine	Grass	N/A	Levitate	N/A	N/A	50.2	49.8	Carnivine
Finneon	Water 2	N/A	Swift Swim	Storm Drain	Water Veil	50.2	49.8	Finneon
Lumineon	Water 2	N/A	Swift Swim	Storm Drain	Water Veil	50.2	49.8	Finneon
Mantyke	Undiscovered	N/A	Swift Swim	Water Absorb	Water Veil	50.2	49.8	N/A
Snover	Monster	Grass	Snow Warning	Soundproof	N/A	50.2	49.8	Snover
Abomasnow	Monster	Grass	Snow Warning	Soundproof	N/A	50.2	49.8	Snover
Weavile	Field	N/A	Pressure	Pickpocket	N/A	50.2	49.8	Sneasel
Magnezone	Mineral	N/A	Magnet Pull	Sturdy	Analytic	0	0	Magnemite
Lickilicky	Monster	N/A	Own Tempo	Oblivious	Cloud Nine	50.2	49.8	Lickitung
Rhyperior	Monster	Field	Lightning Rod	Solid Rock	Reckless	50.2	49.8	Rhyhorn
Tangrowth	Grass	N/A	Chlorophyll	Leaf Guard	Regenerator	50.2	49.8	Tangela
Electivire	Human-Like	N/A	Motor Drive	Vital Spirit	N/A	75.49	24.51	Elekid
Magmortar	Human-Like	N/A	Flame Body	Vital Spirit	N/A	75.49	24.51	Magby
Togekiss	Flying	Fairy	Hustle	Serene Grace	Super Luck	88.14	11.86	Togepi
Yanmega	Bug	N/A	Speed Boost	Tinted Lens	Frisk	50.2	49.8	Yanma
Leafeon	Field	N/A	Leaf Guard	Chlorophyll	N/A	88.14	11.86	Eevee
Glaceon	Field	N/A	Snow Cloak	Ice Body	N/A	88.14	11.86	Eevee
Gliscor	Bug	N/A	Hyper Cutter	Sand Veil	Poison Heal	50.2	49.8	Gligar
Mamoswine	Field	N/A	Oblivious	Snow Cloak	Thick Fat	50.2	49.8	Swinub
Porygon-Z	Mineral	N/A	Adaptability	Download	Analytic	0	0	Porygon
Gallade	Human-Like*	Amorphous	Steadfast	Justified	N/A	100	0	Ralts
Probopass	Mineral	N/A	Sturdy	Magnet Pull	Sand Force	50.2	49.8	Nosepass
Dusknoir	Amorphous	N/A	Pressure	Frisk	N/A	50.2	49.8	Duskull
Froslass	Fairy	Mineral	Snow Cloak	Cursed Body	N/A	0	100	Snorunt
Rotom	Amorphous	N/A	Levitate	N/A	N/A	0	0	Snover
Uxie	Undiscovered	N/A	Levitate	N/A	N/A	0	0	N/A
Mesprit	Undiscovered	N/A	Levitate	N/A	N/A	0	0	N/A
Azelf	Undiscovered	N/A	Levitate	N/A	N/A	0	0	N/A
Dialga	Undiscovered	N/A	Pressure	Telepathy	N/A	0	0	N/A
Palkia	Undiscovered	N/A	Pressure	Telepathy	N/A	0	0	N/A
Heatran	Undiscovered	N/A	Flash Fire	Flame Body	N/A	50.2	49.8	N/A
Regigigas	Undiscovered	N/A	Slow Start	N/A	N/A	0	0	N/A
Giratina	Undiscovered	N/A	Pressure	Telepathy	N/A	0	0	N/A
Cresselia	Undiscovered	N/A	Levitate	N/A	N/A	0	100	N/A
Phione	Water 1	Fairy	Hydration	N/A	N/A	0	0	Phione
Manaphy	Water 1	Fairy	Hydration	N/A	N/A	0	0	Phione
Darkrai	Undiscovered	N/A	Bad Dreams	N/A	N/A	0	0	N/A
Shaymin	Undiscovered	N/A	Natural Cure	N/A	N/A	0	0	N/A
Arceus	Undiscovered	N/A	Multitype	N/A	N/A	0	0	N/A
Victini	Undiscovered	N/A	Victory Star	N/A	N/A	0	0	N/A
Snivy	Field	Grass	Overgrow	Contrary	N/A	88.14	11.86	Snivy
Servine	Field	Grass	Overgrow	Contrary	N/A	88.14	11.86	Snivy
Serperior	Field	Grass	Overgrow	Contrary	N/A	88.14	11.86	Snivy
Tepig	Field	N/A	Blaze	Thick Fat	N/A	88.14	11.86	Tepig
Pignite	Field	N/A	Blaze	Thick Fat	N/A	88.14	11.86	Tepig
Emboar	Field	N/A	Blaze	Reckless	N/A	88.14	11.86	Tepig
Oshawott	Field	N/A	Torrent	Shell Armor	N/A	88.14	11.86	Oshawott
Dewott	Field	N/A	Torrent	Shell Armor	N/A	88.14	11.86	Oshawott
Samurott	Field	N/A	Torrent	Shell Armor	N/A	88.14	11.86	Oshawott
Patrat	Field	N/A	Run Away	Keen Eye	Analytic	50.2	49.8	Patrat
Watchog	Field	N/A	Illuminate	Keen Eye	Analytic	50.2	49.8	Patrat
Lillipup	Field	N/A	Vital Spirit	Pickup	Run Away	50.2	49.8	Lillipup
Herdier	Field	N/A	Intimidate	Sand Rush	Scrappy	50.2	49.8	Lillipup
Stoutland	Field	N/A	Intimidate	Sand Rush	Scrappy	50.2	49.8	Lillipup
Purrloin	Field	N/A	Limber	Unburden	Prankster	50.2	49.8	Purrloin
Liepard	Field	N/A	Limber	Unburden	Prankster	50.2	49.8	Purrloin
Pansage	Field	N/A	Gluttony	Overgrow	N/A	88.14	11.86	Pansage
Simisage	Field	N/A	Gluttony	Overgrow	N/A	88.14	11.86	Pansage
Pansear	Field	N/A	Gluttony	Blaze	N/A	88.14	11.86	Pansear
Simisear	Field	N/A	Gluttony	Blaze	N/A	88.14	11.86	Pansear
Panpour	Field	N/A	Gluttony	Torrent	N/A	88.14	11.86	Panpour
Simipour	Field	N/A	Gluttony	Torrent	N/A	88.14	11.86	Panpour
Munna	Field	N/A	Forewarn	Synchronize	Telepathy	50.2	49.8	Munna
Musharna	Field	N/A	Forewarn	Synchronize	Telepathy	50.2	49.8	Munna
Pidove	Flying	N/A	Big Pecks	Super Luck	Rivalry	50.2	49.8	Pidove
Tranquill	Flying	N/A	Big Pecks	Super Luck	Rivalry	50.2	49.8	Pidove
Unfezant	Flying	N/A	Big Pecks	Super Luck	Rivalry	50.2	49.8	Pidove
Blitzle	Field	N/A	Lightning Rod	Motor Drive	Sap Sipper	50.2	49.8	Blitzle
Zebstrika	Field	N/A	Lightning Rod	Motor Drive	Sap Sipper	50.2	49.8	Blitzle
Roggenrola	Mineral	N/A	Sturdy	Weak Armor	Sand Force	50.2	49.8	Roggenrola
Boldore	Mineral	N/A	Sturdy	Weak Armor	Sand Force	50.2	49.8	Roggenrola
Gigalith	Mineral	N/A	Sturdy	Sand Stream	Sand Force	50.2	49.8	Roggenrola
Woobat	Field	Flying	Unaware	Klutz	Simple	50.2	49.8	Woobat
Swoobat	Field	Flying	Unaware	Klutz	Simple	50.2	49.8	Woobat
Drilbur	Field	N/A	Sand Rush	Sand Force	Mold Breaker	50.2	49.8	Drilbur
Excadrill	Field	N/A	Sand Rush	Sand Force	Mold Breaker	50.2	49.8	Drilbur
Audino	Fairy	N/A	Healer	Regenerator	Klutz	50.2	49.8	Audino
Timburr	Human-Like	N/A	Guts	Sheer Force	Iron Fist	75.49	24.51	Timburr
Gurdurr	Human-Like	N/A	Guts	Sheer Force	Iron Fist	75.49	24.51	Timburr
Conkeldurr	Human-Like	N/A	Guts	Sheer Force	Iron Fist	75.49	24.51	Timburr
Tympole	Water 1	N/A	Swift Swim	Hydration	Water Absorb	50.2	49.8	Tympole
Palpitoad	Water 1	N/A	Swift Swim	Hydration	Water Absorb	50.2	49.8	Tympole
Seismitoad	Water 1	N/A	Swift Swim	Poison Touch	Water Absorb	50.2	49.8	Tympole
Throh	Human-Like	N/A	Guts	Inner Focus	Mold Breaker	100	0	Throh
Sawk	Human-Like	N/A	Sturdy	Inner Focus	Mold Breaker	100	0	Sawk
Sewaddle	Bug	N/A	Swarm	Chlorophyll	Overcoat	50.2	49.8	Sewaddle
Swadloon	Bug	N/A	Leaf Guard	Chlorophyll	Overcoat	50.2	49.8	Sewaddle
Leavanny	Bug	N/A	Swarm	Chlorophyll	Overcoat	50.2	49.8	Sewaddle
Venipede	Bug	N/A	Poison Point	Swarm	Speed Boost	50.2	49.8	Venipede
Whirlipede	Bug	N/A	Poison Point	Swarm	Speed Boost	50.2	49.8	Venipede
Scolipede	Bug	N/A	Poison Point	Swarm	Speed Boost	50.2	49.8	Venipede
Cottonee	Grass	Fairy	Prankster	Infiltrator	Chlorophyll	50.2	49.8	Cottonee
Whimsicott	Grass	Fairy	Prankster	Infiltrator	Chlorophyll	50.2	49.8	Cottonee
Petilil	Grass	N/A	Chlorophyll	Own Tempo	Leaf Guard	0	100	Petilil
Lilligant	Grass	N/A	Chlorophyll	Own Tempo	Leaf Guard	0	100	Petilil
Basculin	Water 2	N/A	Reckless	Adaptability	Mold Breaker	50.2	49.8	Basculin
Sandile	Field	N/A	Intimidate	Moxie	Anger Point	50.2	49.8	Sandile
Krokorok	Field	N/A	Intimidate	Moxie	Anger Point	50.2	49.8	Sandile
Krookodile	Field	N/A	Intimidate	Moxie	Anger Point	50.2	49.8	Sandile
Darumaka	Field	N/A	Hustle	Inner Focus	N/A	50.2	49.8	Darumaka
Darmanitan	Field	N/A	Sheer Force	Zen Mode	N/A	50.2	49.8	Darumaka
Maractus	Grass	N/A	Water Absorb	Chlorophyll	Storm Drain	50.2	49.8	Maractus
Dwebble	Bug	Mineral	Sturdy	Shell Armor	Weak Armor	50.2	49.8	Dwebble
Crustle	Bug	Mineral	Sturdy	Shell Armor	Weak Armor	50.2	49.8	Dwebble
Scraggy	Field	Dragon	Shed Skin	Moxie	Intimidate	50.2	49.8	Scraggy
Scrafty	Field	Dragon	Shed Skin	Moxie	Intimidate	50.2	49.8	Scraggy
Sigilyph	Flying	N/A	Wonder Skin	Magic Guard	Tinted Lens	50.2	49.8	Sigilyph
Yamask	Mineral	Amorphous	Mummy	N/A	N/A	50.2	49.8	Yamask
Cofagrigus	Mineral	Amorphous	Mummy	N/A	N/A	50.2	49.8	Yamask
Tirtouga	Water 1	Water 3	Solid Rock	Sturdy	Swift Swim	88.14	11.86	Tirtouga
Carracosta	Water 1	Water 3	Solid Rock	Sturdy	Swift Swim	88.14	11.86	Tirtouga
Archen	Flying	Water 3	Defeatist	N/A	N/A	88.14	11.86	Archen
Archeops	Flying	Water 3	Defeatist	N/A	N/A	88.14	11.86	Archen
Trubbish	Mineral	N/A	Stench	Sticky Hold	Aftermath	50.2	49.8	Trubbish
Garbodor	Mineral	N/A	Stench	Weak Armor	Aftermath	50.2	49.8	Trubbish
Zorua	Field	N/A	Illusion	N/A	N/A	88.14	11.86	Zorua
Zoroark	Field	N/A	Illusion	N/A	N/A	88.14	11.86	Zorua
Minccino	Field	N/A	Cute Charm	Technician	Skill Link	24.9	75.1	Minccino
Cinccino	Field	N/A	Cute Charm	Technician	Skill Link	24.9	75.1	Minccino
Gothita	Human-Like	N/A	Frisk	Competitive	Shadow Tag	24.9	75.1	Gothita
Gothorita	Human-Like	N/A	Frisk	Competitive	Shadow Tag	24.9	75.1	Gothita
Gothitelle	Human-Like	N/A	Frisk	Competitive	Shadow Tag	24.9	75.1	Gothita
Solosis	Amorphous	N/A	Overcoat	Magic Guard	Regenerator	50.2	49.8	Solosis
Duosion	Amorphous	N/A	Overcoat	Magic Guard	Regenerator	50.2	49.8	Solosis
Reuniclus	Amorphous	N/A	Overcoat	Magic Guard	Regenerator	50.2	49.8	Solosis
Ducklett	Water 1	Flying	Keen Eye	Big Pecks	Hydration	50.2	49.8	Ducklett
Swanna	Water 1	Flying	Keen Eye	Big Pecks	Hydration	50.2	49.8	Ducklett
Vanillite	Mineral	N/A	Ice Body	Snow Cloak	Weak Armor	50.2	49.8	Vanillite
Vanillish	Mineral	N/A	Ice Body	Snow Cloak	Weak Armor	50.2	49.8	Vanillite
Vanilluxe	Mineral	N/A	Ice Body	Snow Warning	Weak Armor	50.2	49.8	Vanillite
Deerling	Field	N/A	Chlorophyll	Sap Sipper	Serene Grace	50.2	49.8	Deerling
Sawsbuck	Field	N/A	Chlorophyll	Sap Sipper	Serene Grace	50.2	49.8	Deerling
Emolga	Field	N/A	Static	Motor Drive	N/A	50.2	49.8	Emolga
Karrablast	Bug	N/A	Swarm	Shed Skin	No Guard	50.2	49.8	Karrablast
Escavalier	Bug	N/A	Swarm	Shell Armor	Overcoat	50.2	49.8	Karrablast
Foongus	Grass	N/A	Effect Spore	Regenerator	N/A	50.2	49.8	Foongus
Amoonguss	Grass	N/A	Effect Spore	Regenerator	N/A	50.2	49.8	Foongus
Frillish	Amorphous	N/A	Water Absorb	Cursed Body	Damp	50.2	49.8	Frillish
Jellicent	Amorphous	N/A	Water Absorb	Cursed Body	Damp	50.2	49.8	Frillish
Alomomola	Water 1	Water 2	Healer	Hydration	Regenerator	50.2	49.8	Alomomola
Joltik	Bug	N/A	Compoundeyes	Unnerve	Swarm	50.2	49.8	Joltik
Galvantula	Bug	N/A	Compoundeyes	Unnerve	Swarm	50.2	49.8	Joltik
Ferroseed	Grass	Mineral	Iron Barbs	N/A	N/A	50.2	49.8	Ferroseed
Ferrothorn	Grass	Mineral	Iron Barbs	Anticipation	N/A	50.2	49.8	Ferroseed
Klink	Mineral	N/A	Plus	Minus	Clear Body	0	0	Klink
Klang	Mineral	N/A	Plus	Minus	Clear Body	0	0	Klink
Klinklang	Mineral	N/A	Plus	Minus	Clear Body	0	0	Klink
Tynamo	Amorphous	N/A	Levitate	N/A	N/A	50.2	49.8	Tynamo
Eelektrik	Amorphous	N/A	Levitate	N/A	N/A	50.2	49.8	Tynamo
Eelektross	Amorphous	N/A	Levitate	N/A	N/A	50.2	49.8	Tynamo
Elgyem	Human-Like	N/A	Telepathy	Synchronize	Analytic	50.2	49.8	Elgyem
Beheeyem	Human-Like	N/A	Telepathy	Synchronize	Analytic	50.2	49.8	Elgyem
Litwick	Amorphous	N/A	Flash Fire	Flame Body	Infiltrator	50.2	49.8	Litwick
Lampent	Amorphous	N/A	Flash Fire	Flame Body	Infiltrator	50.2	49.8	Litwick
Chandelure	Amorphous	N/A	Flash Fire	Flame Body	Infiltrator	50.2	49.8	Litwick
Axew	Monster	Dragon	Rivalry	Mold Breaker	Unnerve	50.2	49.8	Axew
Fraxure	Monster	Dragon	Rivalry	Mold Breaker	Unnerve	50.2	49.8	Axew
Haxorus	Monster	Dragon	Rivalry	Mold Breaker	Unnerve	50.2	49.8	Axew
Cubchoo	Field	N/A	Snow Cloak	Slush Rush	Rattled	50.2	49.8	Cubchoo
Beartic	Field	N/A	Snow Cloak	Slush Rush	Swift Swim	50.2	49.8	Cubchoo
Cryogonal	Mineral	N/A	Levitate	N/A	N/A	0	0	Cryogonal
Shelmet	Bug	N/A	Hydration	Shell Armor	Overcoat	50.2	49.8	Shelmet
Accelgor	Bug	N/A	Hydration	Sticky Hold	Unburden	50.2	49.8	Shelmet
Stunfisk	Water 1	Amorphous	Static	Limber	Sand Veil	50.2	49.8	Stunfisk
Mienfoo	Field	Human-Like	Inner Focus	Regenerator	Reckless	50.2	49.8	Mienfoo
Mienshao	Field	Human-Like	Inner Focus	Regenerator	Reckless	50.2	49.8	Mienfoo
Druddigon	Dragon	Monster	Rough Skin	Sheer Force	Mold Breaker	50.2	49.8	Druddigon
