Name	Egg Group 1	Egg Group 2	Ability 1	Ability 2	Hidden Ability	Male Ratio	Female Ratio
Shuppet	Amorphous	N/A	Insomnia	Frisk	Cursed Body	50.2	49.8
Banette	Amorphous	N/A	Insomnia	Frisk	Cursed Body	50.2	49.8
Duskull	Amorphous	N/A	Levitate	Frisk	N/A	50.2	49.8
Dusclops	Amorphous	N/A	Pressure	Frisk	N/A	50.2	49.8
Tropius	Monster	Grass	Chlorophyll	Solar Power	Harvest	50.2	49.8
Chimecho	Amorphous	N/A	Levitate	N/A	N/A	50.2	49.8
Absol	Field	N/A	Pressure	Super Luck	Justified	50.2	49.8
Wynaut	Undiscovered	N/A	Shadow Tag	Telepathy	N/A	50.2	49.8
Snorunt	Fairy	Mineral	Inner Focus	Ice Body	Moody	50.2	49.8
Glalie	Fairy	Mineral	Inner Focus	Ice Body	Moody	50.2	49.8
Spheal	Water 1	Field	Thick Fat	Ice Body	Oblivious	50.2	49.8
Sealeo	Water 1	Field	Thick Fat	Ice Body	Oblivious	50.2	49.8
Walrein	Water 1	Field	Thick Fat	Ice Body	Oblivious	50.2	49.8
Clamperl	Water 1	N/A	Shell Armor	Rattled	N/A	50.2	49.8
Huntail	Water 1	N/A	Swift Swim	Water Veil	N/A	50.2	49.8
Gorebyss	Water 1	N/A	Swift Swim	Hydration	N/A	50.2	49.8
Relicanth	Water 1	Water 2	Swift Swim	Rock Head	Sturdy	88.14	11.86
Luvdisc	Water 2	N/A	Swift Swim	Hydration	N/A	24.9	75.1
Bagon	Dragon	N/A	Rock Head	Sheer Force	N/A	50.2	49.8
Shelgon	Dragon	N/A	Rock Head	Overcoat	N/A	50.2	49.8
Salamence	Dragon	N/A	Intimidate	Moxie	N/A	50.2	49.8
Beldum	Mineral	N/A	Clear Body	Light Metal	N/A	0	0
Metang	Mineral	N/A	Clear Body	Light Metal	N/A	0	0
Metagross	Mineral	N/A	Clear Body	Light Metal	N/A	0	0
Regirock	Undiscovered	N/A	Clear Body	Sturdy	N/A	0	0
Regice	Undiscovered	N/A	Clear Body	Ice Body	N/A	0	0
Registeel	Undiscovered	N/A	Clear Body	Light Metal	N/A	0	0
Latias	Undiscovered	N/A	Levitate	N/A	N/A	0	100
Latios	Undiscovered	N/A	Levitate	N/A	N/A	100	0
Kyogre	Undiscovered	N/A	Drizzle	N/A	N/A	0	0
Groudon	Undiscovered	N/A	Drought	N/A	N/A	0	0
Rayquaza	Undiscovered	N/A	Air Lock	N/A	N/A	0	0
Jirachi	Undiscovered	N/A	Serene Grace	N/A	N/A	0	0
Deoxys	Undiscovered	N/A	Pressure	N/A	N/A	0	0
Turtwig	Monster	Grass	Overgrow	Shell Armor	N/A	88.14	11.86
Grotle	Monster	Grass	Overgrow	Shell Armor	N/A	88.14	11.86
Torterra	Monster	Grass	Overgrow	Shell Armor	N/A	88.14	11.86
Chimchar	Field	Human-Like	Blaze	Iron Fist	N/A	88.14	11.86
Monferno	Field	Human-Like	Blaze	Iron Fist	N/A	88.14	11.86
Infernape	Field	Human-Like	Blaze	Iron Fist	N/A	88.14	11.86
Piplup	Water 1	Field	Torrent	Defiant	N/A	88.14	11.86
Prinplup	Water 1	Field	Torrent	Defiant	N/A	88.14	11.86
Empoleon	Water 1	Field	Torrent	Defiant	N/A	88.14	11.86
Starly	Flying	N/A	Keen Eye	Reckless	N/A	50.2	49.8
Staravia	Flying	N/A	Intimidate	Reckless	N/A	50.2	49.8
Staraptor	Flying	N/A	Intimidate	Reckless	N/A	50.2	49.8
Bidoof	Water 1	Field	Simple	Unaware	Moody	50.2	49.8
Bibarel	Water 1	Field	Simple	Unaware	Moody	50.2	49.8
Kricketot	Bug	N/A	Shed Skin	Run Away	N/A	50.2	49.8
Kricketune	Bug	N/A	Swarm	Technician	N/A	50.2	49.8
Shinx	Field	N/A	Rivalry	Intimidate	Guts	50.2	49.8
Luxio	Field	N/A	Rivalry	Intimidate	Guts	50.2	49.8
Luxray	Field	N/A	Rivalry	Intimidate	Guts	50.2	49.8
Budew	Undiscovered	N/A	Natural Cure	Poison Point	Leaf Guard	50.2	49.8
Roserade	Fairy	Grass	Natural Cure	Poison Point	Technician	50.2	49.8
Cranidos	Monster	N/A	Mold Breaker	Sheer Force	N/A	88.14	11.86
Rampardos	Monster	N/A	Mold Breaker	Sheer Force	N/A	88.14	11.86
Shieldon	Monster	N/A	Sturdy	Soundproof	N/A	88.14	11.86
Bastiodon	Monster	N/A	Sturdy	Soundproof	N/A	88.14	11.86
Burmy	Bug	N/A	Shed Skin	Overcoat	N/A	50.2	49.8
Wormadam	Bug	N/A	Anticipation	Overcoat	N/A	0	100
Mothim	Bug	N/A	Swarm	Tinted Lens	N/A	100	0
Combee	Bug	N/A	Honey Gather	Hustle	N/A	88.14	11.86
Vespiquen	Bug	N/A	Pressure	Unnerve	N/A	0	100
Pachirisu	Field	Fairy	Run Away	Pickup	Volt Absorb	50.2	49.8
Buizel	Water 1	Field	Swift Swim	Water Veil	N/A	50.2	49.8
Floatzel	Water 1	Field	Swift Swim	Water Veil	N/A	50.2	49.8
Cherubi	Fairy	Grass	Chlorophyll	N/A	N/A	50.2	49.8
Cherrim	Fairy	Grass	Flower Gift	N/A	N/A	50.2	49.8
Shellos	Water 1	Amorphous	Sticky Hold	Storm Drain	Sand Force	50.2	49.8
Gastrodon	Water 1	Amorphous	Sticky Hold	Storm Drain	Sand Force	50.2	49.8
Ambipom	Field	N/A	Technician	Pickup	Skill Link	50.2	49.8
Drifloon	Amorphous	N/A	Aftermath	Unburden	Flare Boost	50.2	49.8
Drifblim	Amorphous	N/A	Aftermath	Unburden	Flare Boost	50.2	49.8
Buneary	Field	Human-Like	Run Away	Klutz	Limber	50.2	49.8
Lopunny	Field	Human-Like	Cute Charm	Klutz	Limber	50.2	49.8
Mismagius	Amorphous	N/A	Levitate	N/A	N/A	50.2	49.8
Honchkrow	Flying	N/A	Insomnia	Super Luck	Moxie	50.2	49.8
Glameow	Field	N/A	Limber	Own Tempo	Keen Eye	24.9	75.1
Purugly	Field	N/A	Thick Fat	Own Tempo	Defiant	24.9	75.1
Chingling	Undiscovered	N/A	Levitate	N/A	N/A	50.2	49.8
Stunky	Field	N/A	Stench	Aftermath	Keen Eye	50.2	49.8
Skuntank	Field	N/A	Stench	Aftermath	Keen Eye	50.2	49.8
Bronzor	Mineral	N/A	Levitate	Heatproof	Heavy Metal	0	0
Bronzong	Mineral	N/A	Levitate	Heatproof	Heavy Metal	0	0
Bonsly	Undiscovered	N/A	Sturdy	Rock Head	Rattled	50.2	49.8
Mime Jr.	Undiscovered	N/A	Soundproof	Filter	Technician	50.2	49.8
Happiny	Undiscovered	N/A	Natural Cure	Serene Grace	Friend Guard	0	100
Chatot	Flying	N/A	Keen Eye	Tangled Feet	Big Pecks	50.2	49.8
Spiritomb	Amorphous	N/A	Pressure	Infiltrator	N/A	50.2	49.8
Gible	Monster	Dragon	Sand Veil	Rough Skin	N/A	50.2	49.8
Gabite	Monster	Dragon	Sand Veil	Rough Skin	N/A	50.2	49.8
Garchomp	Monster	Dragon	Sand Veil	Rough Skin	N/A	50.2	49.8
Munchlax	Undiscovered	N/A	Pickup	Thick Fat	Gluttony	88.14	11.86
Riolu	Undiscovered	N/A	Steadfast	Inner Focus	Prankster	88.14	11.86
Lucario	Field	Human-Like	Steadfast	Inner Focus	Justified	88.14	11.86
Hippopotas	Field	N/A	Sand Stream	Sand Force	N/A	50.2	49.8
Hippowdon	Field	N/A	Sand Stream	Sand Force	N/A	50.2	49.8
Skorupi	Bug	Water 3	Battle Armor	Sniper	Keen Eye	50.2	49.8
Drapion	Bug	Water 3	Battle Armor	Sniper	Keen Eye	50.2	49.8
Croagunk	Human-Like	N/A	Anticipation	Dry Skin	Poison Touch	50.2	49.8
Toxicroak	Human-Like	N/A	Anticipation	Dry Skin	Poison Touch	50.2	49.8
Carnivine	Grass	N/A	Levitate	N/A	N/A	50.2	49.8
Finneon	Water 2	N/A	Swift Swim	Storm Drain	Water Veil	50.2	49.8
Lumineon	Water 2	N/A	Swift Swim	Storm Drain	Water Veil	50.2	49.8
Mantyke	Undiscovered	N/A	Swift Swim	Water Absorb	Water Veil	50.2	49.8
Snover	Monster	Grass	Snow Warning	Soundproof	N/A	50.2	49.8
Abomasnow	Monster	Grass	Snow Warning	Soundproof	N/A	50.2	49.8
Weavile	Field	N/A	Pressure	Pickpocket	N/A	50.2	49.8
Magnezone	Mineral	N/A	Magnet Pull	Sturdy	Analytic	0	0
Lickilicky	Monster	N/A	Own Tempo	Oblivious	Cloud Nine	50.2	49.8
Rhyperior	Monster	Field	Lightning Rod	Solid Rock	Reckless	50.2	49.8
Tangrowth	Grass	N/A	Chlorophyll	Leaf Guard	Regenerator	50.2	49.8
Electivire	Human-Like	N/A	Motor Drive	Vital Spirit	N/A	75.49	24.51
Magmortar	Human-Like	N/A	Flame Body	Vital Spirit	N/A	75.49	24.51
Togekiss	Flying	Fairy	Hustle	Serene Grace	Super Luck	88.14	11.86
Yanmega	Bug	N/A	Speed Boost	Tinted Lens	Frisk	50.2	49.8
Leafeon	Field	N/A	Leaf Guard	Chlorophyll	N/A	88.14	11.86
Glaceon	Field	N/A	Snow Cloak	Ice Body	N/A	88.14	11.86
Gliscor	Bug	N/A	Hyper Cutter	Sand Veil	Poison Heal	50.2	49.8
Mamoswine	Field	N/A	Oblivious	Snow Cloak	Thick Fat	50.2	49.8
Porygon-Z	Mineral	N/A	Adaptability	Download	Analytic	0	0
Gallade	Human-Like*	Amorphous	Steadfast	Justified	N/A	100	0
Probopass	Mineral	N/A	Sturdy	Magnet Pull	Sand Force	50.2	49.8
Dusknoir	Amorphous	N/A	Pressure	Frisk	N/A	50.2	49.8
Froslass	Fairy	Mineral	Snow Cloak	Cursed Body	N/A	0	100
Rotom	Amorphous	N/A	Levitate	N/A	N/A	0	0
Uxie	Undiscovered	N/A	Levitate	N/A	N/A	0	0
Mesprit	Undiscovered	N/A	Levitate	N/A	N/A	0	0
Azelf	Undiscovered	N/A	Levitate	N/A	N/A	0	0
Dialga	Undiscovered	N/A	Pressure	Telepathy	N/A	0	0
Palkia	Undiscovered	N/A	Pressure	Telepathy	N/A	0	0
Heatran	Undiscovered	N/A	Flash Fire	Flame Body	N/A	50.2	49.8
Regigigas	Undiscovered	N/A	Slow Start	N/A	N/A	0	0
Giratina	Undiscovered	N/A	Pressure	Telepathy	N/A	0	0
Cresselia	Undiscovered	N/A	Levitate	N/A	N/A	0	100
Phione	Water 1	Fairy	Hydration	N/A	N/A	0	0
Manaphy	Water 1	Fairy	Hydration	N/A	N/A	0	0
Darkrai	Undiscovered	N/A	Bad Dreams	N/A	N/A	0	0
Shaymin	Undiscovered	N/A	Natural Cure	N/A	N/A	0	0
Arceus	Undiscovered	N/A	Multitype	N/A	N/A	0	0
Victini	Undiscovered	N/A	Victory Star	N/A	N/A	0	0
Snivy	Field	Grass	Overgrow	Contrary	N/A	88.14	11.86
Servine	Field	Grass	Overgrow	Contrary	N/A	88.14	11.86
Serperior	Field	Grass	Overgrow	Contrary	N/A	88.14	11.86
Tepig	Field	N/A	Blaze	Thick Fat	N/A	88.14	11.86
Pignite	Field	N/A	Blaze	Thick Fat	N/A	88.14	11.86
Emboar	Field	N/A	Blaze	Reckless	N/A	88.14	11.86
Oshawott	Field	N/A	Torrent	Shell Armor	N/A	88.14	11.86
Dewott	Field	N/A	Torrent	Shell Armor	N/A	88.14	11.86
Samurott	Field	N/A	Torrent	Shell Armor	N/A	88.14	11.86
Patrat	Field	N/A	Run Away	Keen Eye	Analytic	50.2	49.8
Watchog	Field	N/A	Illuminate	Keen Eye	Analytic	50.2	49.8
Lillipup	Field	N/A	Vital Spirit	Pickup	Run Away	50.2	49.8
Herdier	Field	N/A	Intimidate	Sand Rush	Scrappy	50.2	49.8
Stoutland	Field	N/A	Intimidate	Sand Rush	Scrappy	50.2	49.8
Purrloin	Field	N/A	Limber	Unburden	Prankster	50.2	49.8
Liepard	Field	N/A	Limber	Unburden	Prankster	50.2	49.8
Pansage	Field	N/A	Gluttony	Overgrow	N/A	88.14	11.86
Simisage	Field	N/A	Gluttony	Overgrow	N/A	88.14	11.86
Pansear	Field	N/A	Gluttony	Blaze	N/A	88.14	11.86
Simisear	Field	N/A	Gluttony	Blaze	N/A	88.14	11.86
Panpour	Field	N/A	Gluttony	Torrent	N/A	88.14	11.86
Simipour	Field	N/A	Gluttony	Torrent	N/A	88.14	11.86
Munna	Field	N/A	Forewarn	Synchronize	Telepathy	50.2	49.8
Musharna	Field	N/A	Forewarn	Synchronize	Telepathy	50.2	49.8
Pidove	Flying	N/A	Big Pecks	Super Luck	Rivalry	50.2	49.8
Tranquill	Flying	N/A	Big Pecks	Super Luck	Rivalry	50.2	49.8
Unfezant	Flying	N/A	Big Pecks	Super Luck	Rivalry	50.2	49.8
Blitzle	Field	N/A	Lightning Rod	Motor Drive	Sap Sipper	50.2	49.8
Zebstrika	Field	N/A	Lightning Rod	Motor Drive	Sap Sipper	50.2	49.8
Roggenrola	Mineral	N/A	Sturdy	Weak Armor	Sand Force	50.2	49.8
Boldore	Mineral	N/A	Sturdy	Weak Armor	Sand Force	50.2	49.8
Gigalith	Mineral	N/A	Sturdy	Sand Stream	Sand Force	50.2	49.8
Woobat	Field	Flying	Unaware	Klutz	Simple	50.2	49.8
Swoobat	Field	Flying	Unaware	Klutz	Simple	50.2	49.8
Drilbur	Field	N/A	Sand Rush	Sand Force	Mold Breaker	50.2	49.8
Excadrill	Field	N/A	Sand Rush	Sand Force	Mold Breaker	50.2	49.8
Audino	Fairy	N/A	Healer	Regenerator	Klutz	50.2	49.8
Timburr	Human-Like	N/A	Guts	Sheer Force	Iron Fist	75.49	24.51
Gurdurr	Human-Like	N/A	Guts	Sheer Force	Iron Fist	75.49	24.51
Conkeldurr	Human-Like	N/A	Guts	Sheer Force	Iron Fist	75.49	24.51
Tympole	Water 1	N/A	Swift Swim	Hydration	Water Absorb	50.2	49.8
Palpitoad	Water 1	N/A	Swift Swim	Hydration	Water Absorb	50.2	49.8
Seismitoad	Water 1	N/A	Swift Swim	Poison Touch	Water Absorb	50.2	49.8
Throh	Human-Like	N/A	Guts	Inner Focus	Mold Breaker	100	0
Sawk	Human-Like	N/A	Sturdy	Inner Focus	Mold Breaker	100	0
Sewaddle	Bug	N/A	Swarm	Chlorophyll	Overcoat	50.2	49.8
Swadloon	Bug	N/A	Leaf Guard	Chlorophyll	Overcoat	50.2	49.8
Leavanny	Bug	N/A	Swarm	Chlorophyll	Overcoat	50.2	49.8
Venipede	Bug	N/A	Poison Point	Swarm	Speed Boost	50.2	49.8
Whirlipede	Bug	N/A	Poison Point	Swarm	Speed Boost	50.2	49.8
Scolipede	Bug	N/A	Poison Point	Swarm	Speed Boost	50.2	49.8
Cottonee	Grass	Fairy	Prankster	Infiltrator	Chlorophyll	50.2	49.8
Whimsicott	Grass	Fairy	Prankster	Infiltrator	Chlorophyll	50.2	49.8
Petilil	Grass	N/A	Chlorophyll	Own Tempo	Leaf Guard	0	100
Lilligant	Grass	N/A	Chlorophyll	Own Tempo	Leaf Guard	0	100
Basculin	Water 2	N/A	Reckless	Adaptability	Mold Breaker	50.2	49.8
Sandile	Field	N/A	Intimidate	Moxie	Anger Point	50.2	49.8
Krokorok	Field	N/A	Intimidate	Moxie	Anger Point	50.2	49.8
Krookodile	Field	N/A	Intimidate	Moxie	Anger Point	50.2	49.8
Darumaka	Field	N/A	Hustle	Inner Focus	N/A	50.2	49.8
Darmanitan	Field	N/A	Sheer Force	Zen Mode	N/A	50.2	49.8
Maractus	Grass	N/A	Water Absorb	Chlorophyll	Storm Drain	50.2	49.8
Dwebble	Bug	Mineral	Sturdy	Shell Armor	Weak Armor	50.2	49.8
Crustle	Bug	Mineral	Sturdy	Shell Armor	Weak Armor	50.2	49.8
Scraggy	Field	Dragon	Shed Skin	Moxie	Intimidate	50.2	49.8
Scrafty	Field	Dragon	Shed Skin	Moxie	Intimidate	50.2	49.8
Sigilyph	Flying	N/A	Wonder Skin	Magic Guard	Tinted Lens	50.2	49.8
Yamask	Mineral	Amorphous	Mummy	N/A	N/A	50.2	49.8
Cofagrigus	Mineral	Amorphous	Mummy	N/A	N/A	50.2	49.8
Tirtouga	Water 1	Water 3	Solid Rock	Sturdy	Swift Swim	88.14	11.86
Carracosta	Water 1	Water 3	Solid Rock	Sturdy	Swift Swim	88.14	11.86
Archen	Flying	Water 3	Defeatist	N/A	N/A	88.14	11.86
Archeops	Flying	Water 3	Defeatist	N/A	N/A	88.14	11.86
Trubbish	Mineral	N/A	Stench	Sticky Hold	Aftermath	50.2	49.8
Garbodor	Mineral	N/A	Stench	Weak Armor	Aftermath	50.2	49.8
Zorua	Field	N/A	Illusion	N/A	N/A	88.14	11.86
Zoroark	Field	N/A	Illusion	N/A	N/A	88.14	11.86
Minccino	Field	N/A	Cute Charm	Technician	Skill Link	24.9	75.1
Cinccino	Field	N/A	Cute Charm	Technician	Skill Link	24.9	75.1
Gothita	Human-Like	N/A	Frisk	Competitive	Shadow Tag	24.9	75.1
Gothorita	Human-Like	N/A	Frisk	Competitive	Shadow Tag	24.9	75.1
Gothitelle	Human-Like	N/A	Frisk	Competitive	Shadow Tag	24.9	75.1
Solosis	Amorphous	N/A	Overcoat	Magic Guard	Regenerator	50.2	49.8
Duosion	Amorphous	N/A	Overcoat	Magic Guard	Regenerator	50.2	49.8
Reuniclus	Amorphous	N/A	Overcoat	Magic Guard	Regenerator	50.2	49.8
Ducklett	Water 1	Flying	Keen Eye	Big Pecks	Hydration	50.2	49.8
Swanna	Water 1	Flying	Keen Eye	Big Pecks	Hydration	50.2	49.8
Vanillite	Mineral	N/A	Ice Body	Snow Cloak	Weak Armor	50.2	49.8
Vanillish	Mineral	N/A	Ice Body	Snow Cloak	Weak Armor	50.2	49.8
Vanilluxe	Mineral	N/A	Ice Body	Snow Warning	Weak Armor	50.2	49.8
Deerling	Field	N/A	Chlorophyll	Sap Sipper	Serene Grace	50.2	49.8
Sawsbuck	Field	N/A	Chlorophyll	Sap Sipper	Serene Grace	50.2	49.8
Emolga	Field	N/A	Static	Motor Drive	N/A	50.2	49.8
Karrablast	Bug	N/A	Swarm	Shed Skin	No Guard	50.2	49.8
Escavalier	Bug	N/A	Swarm	Shell Armor	Overcoat	50.2	49.8
Foongus	Grass	N/A	Effect Spore	Regenerator	N/A	50.2	49.8
Amoonguss	Grass	N/A	Effect Spore	Regenerator	N/A	50.2	49.8
Frillish	Amorphous	N/A	Water Absorb	Cursed Body	Damp	50.2	49.8
Jellicent	Amorphous	N/A	Water Absorb	Cursed Body	Damp	50.2	49.8
Alomomola	Water 1	Water 2	Healer	Hydration	Regenerator	50.2	49.8
Joltik	Bug	N/A	Compoundeyes	Unnerve	Swarm	50.2	49.8
Galvantula	Bug	N/A	Compoundeyes	Unnerve	Swarm	50.2	49.8
Ferroseed	Grass	Mineral	Iron Barbs	N/A	N/A	50.2	49.8
Ferrothorn	Grass	Mineral	Iron Barbs	Anticipation	N/A	50.2	49.8
Klink	Mineral	N/A	Plus	Minus	Clear Body	0	0
Klang	Mineral	N/A	Plus	Minus	Clear Body	0	0
Klinklang	Mineral	N/A	Plus	Minus	Clear Body	0	0
Tynamo	Amorphous	N/A	Levitate	N/A	N/A	50.2	49.8
Eelektrik	Amorphous	N/A	Levitate	N/A	N/A	50.2	49.8
Eelektross	Amorphous	N/A	Levitate	N/A	N/A	50.2	49.8
Elgyem	Human-Like	N/A	Telepathy	Synchronize	Analytic	50.2	49.8
Beheeyem	Human-Like	N/A	Telepathy	Synchronize	Analytic	50.2	49.8
Litwick	Amorphous	N/A	Flash Fire	Flame Body	Infiltrator	50.2	49.8
Lampent	Amorphous	N/A	Flash Fire	Flame Body	Infiltrator	50.2	49.8
Chandelure	Amorphous	N/A	Flash Fire	Flame Body	Infiltrator	50.2	49.8
Axew	Monster	Dragon	Rivalry	Mold Breaker	Unnerve	50.2	49.8
Fraxure	Monster	Dragon	Rivalry	Mold Breaker	Unnerve	50.2	49.8
Haxorus	Monster	Dragon	Rivalry	Mold Breaker	Unnerve	50.2	49.8
Cubchoo	Field	N/A	Snow Cloak	Slush Rush	Rattled	50.2	49.8
Beartic	Field	N/A	Snow Cloak	Slush Rush	Swift Swim	50.2	49.8
Cryogonal	Mineral	N/A	Levitate	N/A	N/A	0	0
Shelmet	Bug	N/A	Hydration	Shell Armor	Overcoat	50.2	49.8
Accelgor	Bug	N/A	Hydration	Sticky Hold	Unburden	50.2	49.8
Stunfisk	Water 1	Amorphous	Static	Limber	Sand Veil	50.2	49.8
Mienfoo	Field	Human-Like	Inner Focus	Regenerator	Reckless	50.2	49.8
Mienshao	Field	Human-Like	Inner Focus	Regenerator	Reckless	50.2	49.8
Druddigon	Dragon	Monster	Rough Skin	Sheer Force	Mold Breaker	50.2	49.8
Golett	Mineral	N/A	Iron Fist	Klutz	No Guard	0	0
Golurk	Mineral	N/A	Iron Fist	Klutz	No Guard	0	0
Pawniard	Human-Like	N/A	Defiant	Inner Focus	Pressure	50.2	49.8
Bisharp	Human-Like	N/A	Defiant	Inner Focus	Pressure	50.2	49.8
Bouffalant	Field	N/A	Reckless	Sap Sipper	Soundproof	50.2	49.8
Rufflet	Flying	N/A	Keen Eye	Sheer Force	Hustle	100	0
Braviary	Flying	N/A	Keen Eye	Sheer Force	Defiant	100	0
Vullaby	Flying	N/A	Big Pecks	Overcoat	Weak Armor	0	100
Mandibuzz	Flying	N/A	Big Pecks	Overcoat	Weak Armor	0	100
Heatmor	Field	N/A	Gluttony	Flash Fire	White Smoke	50.2	49.8
Durant	Bug	N/A	Swarm	Hustle	Truant	50.2	49.8
Deino	Dragon	N/A	Hustle	N/A	N/A	50.2	49.8
Zweilous	Dragon	N/A	Hustle	N/A	N/A	50.2	49.8
Hydreigon	Dragon	N/A	Levitate	N/A	N/A	50.2	49.8
Larvesta	Bug	N/A	Flame Body	Swarm	N/A	50.2	49.8
Volcarona	Bug	N/A	Flame Body	Swarm	N/A	50.2	49.8
Cobalion	Undiscovered	N/A	Justified	N/A	N/A	0	0
Terrakion	Undiscovered	N/A	Justified	N/A	N/A	0	0
Virizion	Undiscovered	N/A	Justified	N/A	N/A	0	0
Tornadus	Undiscovered	N/A	Prankster	Defiant	N/A	100	0
Thundurus	Undiscovered	N/A	Prankster	Defiant	N/A	100	0
Reshiram	Undiscovered	N/A	Turboblaze	N/A	N/A	0	0
Zekrom	Undiscovered	N/A	Teravolt	N/A	N/A	0	0
Landorus	Undiscovered	N/A	Sand Force	Sheer Force	N/A	100	0
Kyurem	Undiscovered	N/A	Pressure	N/A	N/A	0	0
Keldeo	Undiscovered	N/A	Justified	N/A	N/A	0	0
Meloetta	Undiscovered	N/A	Serene Grace	N/A	N/A	0	0
Genesect	Undiscovered	N/A	Download	N/A	N/A	0	0
Chespin	Field	N/A	Overgrow	Bulletproof	N/A	88.14	11.86
Quilladin	Field	N/A	Overgrow	Bulletproof	N/A	88.14	11.86
Chesnaught	Field	N/A	Overgrow	Bulletproof	N/A	88.14	11.86
Fennekin	Field	N/A	Blaze	Magician	N/A	88.14	11.86
Braixen	Field	N/A	Blaze	Magician	N/A	88.14	11.86
Delphox	Field	N/A	Blaze	Magician	N/A	88.14	11.86
Froakie	Water 1	N/A	Torrent	Protean	N/A	88.14	11.86
Frogadier	Water 1	N/A	Torrent	Protean	N/A	88.14	11.86
Greninja	Water 1	N/A	Torrent	Protean	N/A	88.14	11.86
Bunnelby	Field	N/A	Pickup	Cheek Pouch	Huge Power	50.2	49.8
Diggersby	Field	N/A	Pickup	Cheek Pouch	Huge Power	50.2	49.8
Fletchling	Flying	N/A	Big Pecks	Gale Wings	N/A	50.2	49.8
Fletchinder	Flying	N/A	Flame Body	Gale Wings	N/A	50.2	49.8
Talonflame	Flying	N/A	Flame Body	Gale Wings	N/A	50.2	49.8
Scatterbug	Bug	N/A	Shield Dust	Compoundeyes	Friend Guard	50.2	49.8
Spewpa	Bug	N/A	Shed Skin	Friend Guard	N/A	50.2	49.8
Vivillon	Bug	N/A	Shield Dust	Compoundeyes	Friend Guard	50.2	49.8
Litleo	Field	N/A	Rivalry	Unnerve	Moxie	12.06	87.94
Pyroar	Field	N/A	Rivalry	Unnerve	Moxie	12.06	87.94
Flabébé	Fairy	N/A	Flower Veil	Symbiosis	N/A	0	100
Floette	Fairy	N/A	Flower Veil	Symbiosis	N/A	0	100
Florges	Fairy	N/A	Flower Veil	Symbiosis	N/A	0	100
Skiddo	Field	N/A	Sap Sipper	Grass Pelt	N/A	50.2	49.8
Gogoat	Field	N/A	Sap Sipper	Grass Pelt	N/A	50.2	49.8
Pancham	Field	Human-Like	Iron Fist	Mold Breaker	Scrappy	50.2	49.8
Pangoro	Field	Human-Like	Iron Fist	Mold Breaker	Scrappy	50.2	49.8
Furfrou	Field	N/A	Fur Coat	N/A	N/A	50.2	49.8
Espurr	Field	N/A	Keen Eye	Infiltrator	Own Tempo	50.2	49.8
Meowstic	Field	N/A	Keen Eye	Infiltrator	Prankster	50.2	49.8
Honedge	Mineral	N/A	No Guard	N/A	N/A	50.2	49.8
Doublade	Mineral	N/A	No Guard	N/A	N/A	50.2	49.8
Aegislash	Mineral	N/A	Stance Change	N/A	N/A	50.2	49.8
Spritzee	Fairy	N/A	Healer	Aroma Veil	N/A	50.2	49.8
Aromatisse	Fairy	N/A	Healer	Aroma Veil	N/A	50.2	49.8
Swirlix	Fairy	N/A	Sweet Veil	Unburden	N/A	50.2	49.8
Slurpuff	Fairy	N/A	Sweet Veil	Unburden	N/A	50.2	49.8
Inkay	Water 1	Water 2	Contrary	Suction Cups	Infiltrator	50.2	49.8
Malamar	Water 1	Water 2	Contrary	Suction Cups	Infiltrator	50.2	49.8
Binacle	Water 3	N/A	Tough Claws	Sniper	Pickpocket	50.2	49.8
Barbaracle	Water 3	N/A	Tough Claws	Sniper	Pickpocket	50.2	49.8
Skrelp	Water 1	Dragon	Poison Point	Poison Touch	Adaptability	50.2	49.8
Dragalge	Water 1	Dragon	Poison Point	Poison Touch	Adaptability	50.2	49.8
Clauncher	Water 1	Water 3	Mega Launcher	N/A	N/A	50.2	49.8
Clawitzer	Water 1	Water 3	Mega Launcher	N/A	N/A	50.2	49.8
Helioptile	Monster	Dragon	Dry Skin	Sand Veil	Solar Power	50.2	49.8
Heliolisk	Monster	Dragon	Dry Skin	Sand Veil	Solar Power	50.2	49.8
Tyrunt	Monster	Dragon	Strong Jaw	Sturdy	N/A	88.14	11.86
Tyrantrum	Monster	Dragon	Strong Jaw	Rock Head	N/A	88.14	11.86
Amaura	Monster	N/A	Refrigerate	Snow Warning	N/A	88.14	11.86
Aurorus	Monster	N/A	Refrigerate	Snow Warning	N/A	88.14	11.86
Sylveon	Field	N/A	Cute Charm	Pixilate	N/A	88.14	11.86
Hawlucha	Flying*	Human-Like	Limber	Unburden	Mold Breaker	50.2	49.8
Dedenne	Field	Fairy	Cheek Pouch	Pickup	Plus	50.2	49.8
Carbink	Fairy	Mineral	Clear Body	Sturdy	N/A	0	0
Goomy	Dragon	N/A	Sap Sipper	Hydration	Gooey	50.2	49.8
Sliggoo	Dragon	N/A	Sap Sipper	Hydration	Gooey	50.2	49.8
Goodra	Dragon	N/A	Sap Sipper	Hydration	Gooey	50.2	49.8
Klefki	Mineral	N/A	Prankster	Magician	N/A	50.2	49.8
Phantump	Grass	Amorphous	Natural Cure	Frisk	Harvest	50.2	49.8
Trevenant	Grass	Amorphous	Natural Cure	Frisk	Harvest	50.2	49.8
Pumpkaboo	Amorphous	N/A	Pickup	Frisk	Insomnia	50.2	49.8
Gourgeist	Amorphous	N/A	Pickup	Frisk	Insomnia	50.2	49.8
